epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3787,1.60035,3.50875,1.72506,0.47254,0.44861,0.34987,0.1635,1.49882,3.7687,1.95693,0.00023839,0.00023839,0.00023839
2,17.849,1.48265,2.03885,1.565,0.26506,0.11636,0.09468,0.03254,2.23994,10.9568,2.77008,0.000482871,0.000482871,0.000482871
3,24.9609,1.45447,1.83201,1.55865,0.56192,0.20556,0.21994,0.09712,2.13944,8.29822,2.88198,0.000725728,0.000725728,0.000725728
4,32.0135,1.48233,1.68827,1.57899,0.60811,0.2463,0.28336,0.1124,2.01755,3.52124,2.98014,0.000761387,0.000761387,0.000761387
5,38.9608,1.43372,1.59247,1.5342,0.30618,0.3943,0.24456,0.09321,2.28044,4.2225,2.66356,0.000758849,0.000758849,0.000758849
6,46.0077,1.41708,1.54253,1.54056,0.59393,0.37193,0.31228,0.14814,1.62236,2.79618,2.18753,0.000756312,0.000756312,0.000756312
7,52.8905,1.41536,1.50459,1.49445,0.8901,0.13519,0.19149,0.08654,1.96714,3.34508,2.43802,0.000753774,0.000753774,0.000753774
8,59.7681,1.37539,1.36301,1.45066,0.5782,0.36296,0.36395,0.21817,1.62263,2.23429,2.17842,0.000751236,0.000751236,0.000751236
9,67.0236,1.32049,1.33036,1.44524,0.48481,0.33986,0.38749,0.19365,1.50999,2.5648,2.08543,0.000748698,0.000748698,0.000748698
10,74.1886,1.30972,1.3098,1.43925,0.1687,0.42122,0.27732,0.14674,1.69613,2.61722,2.13977,0.000746161,0.000746161,0.000746161
11,81.1577,1.29827,1.24576,1.4176,0.38277,0.51077,0.42768,0.214,1.68878,2.55751,2.15391,0.000743623,0.000743623,0.000743623
12,88.277,1.26102,1.19617,1.39062,0.54132,0.46775,0.4704,0.24653,1.5325,2.31771,2.01773,0.000741085,0.000741085,0.000741085
13,95.3317,1.2515,1.1507,1.35164,0.54191,0.49981,0.46897,0.22866,1.51547,2.09102,1.80465,0.000738548,0.000738548,0.000738548
14,102.314,1.24598,1.16269,1.37556,0.58459,0.35906,0.46648,0.23856,1.63014,2.31701,1.91622,0.00073601,0.00073601,0.00073601
15,112.02,1.21134,1.12991,1.35664,0.46961,0.48735,0.47767,0.24542,1.62797,2.20126,1.92498,0.000733472,0.000733472,0.000733472
16,121.255,1.20964,1.09683,1.34623,0.57518,0.45193,0.47642,0.24765,1.63564,2.22245,2.04184,0.000730935,0.000730935,0.000730935
17,131.858,1.1618,1.03381,1.33607,0.4154,0.49668,0.50117,0.29538,1.37679,2.17753,1.7562,0.000728397,0.000728397,0.000728397
18,140.897,1.18412,1.03618,1.32375,0.4753,0.55093,0.54377,0.30257,1.56188,1.95077,1.93814,0.000725859,0.000725859,0.000725859
19,147.824,1.16162,1.02075,1.31193,0.38513,0.60082,0.51539,0.27791,1.50394,1.94766,1.86753,0.000723321,0.000723321,0.000723321
20,154.618,1.14881,0.99625,1.30514,0.58142,0.45252,0.49097,0.21911,1.57843,2.23206,1.94023,0.000720784,0.000720784,0.000720784
21,161.343,1.16154,0.97556,1.31215,0.45896,0.55979,0.51168,0.23442,1.84399,2.25981,2.15017,0.000718246,0.000718246,0.000718246
