epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1367,1.82132,2.71335,1.66608,0.52534,0.49039,0.45399,0.22417,1.71513,1.57582,1.54774,0.0033125,0.0033125,0.0033125
2,23.4148,1.59912,1.59258,1.40862,0.50841,0.55013,0.5162,0.23729,1.76719,1.484,1.52027,0.0066239,0.0066239,0.0066239
3,34.4308,1.59758,1.49831,1.38608,0.48759,0.38227,0.38797,0.18266,1.86591,2.15591,1.60954,0.0099133,0.0099133,0.0099133
4,45.2106,1.68286,1.6177,1.42595,0.38882,0.39971,0.32897,0.14713,1.83505,2.34351,1.5516,0.009901,0.009901,0.009901
5,55.9802,1.66706,1.56319,1.41857,0.5283,0.45066,0.44819,0.21414,1.7751,1.59301,1.50298,0.009868,0.009868,0.009868
6,66.7148,1.63869,1.51409,1.39575,0.47727,0.46291,0.44508,0.20724,1.85784,1.72714,1.56921,0.009835,0.009835,0.009835
7,77.4059,1.60188,1.45517,1.39005,0.53631,0.53488,0.50853,0.23787,1.82533,1.57301,1.53821,0.009802,0.009802,0.009802
8,88.0855,1.61068,1.45209,1.39128,0.57278,0.52386,0.52314,0.2443,1.78778,1.55977,1.48318,0.009769,0.009769,0.009769
9,98.7654,1.58561,1.37592,1.36692,0.51603,0.51448,0.49131,0.23825,1.74722,1.51968,1.50396,0.009736,0.009736,0.009736
10,109.468,1.56941,1.34004,1.3484,0.48341,0.50669,0.48535,0.22614,1.81872,1.60026,1.53953,0.009703,0.009703,0.009703
11,120.948,1.56931,1.34897,1.35833,0.54062,0.57058,0.52974,0.25458,1.74881,1.38902,1.47052,0.00967,0.00967,0.00967
12,134.481,1.5436,1.30576,1.35168,0.52751,0.51112,0.50021,0.24664,1.77327,1.53978,1.49242,0.009637,0.009637,0.009637
13,146.474,1.52603,1.26039,1.32844,0.54915,0.50823,0.52096,0.25043,1.79406,1.50406,1.47586,0.009604,0.009604,0.009604
14,158.309,1.51824,1.24648,1.32634,0.56404,0.52287,0.52097,0.25314,1.80976,1.42763,1.53528,0.009571,0.009571,0.009571
15,170.453,1.51352,1.22818,1.30987,0.6125,0.55098,0.5592,0.27271,1.70883,1.4098,1.45592,0.009538,0.009538,0.009538
16,182.788,1.48459,1.20298,1.30717,0.60575,0.59287,0.57996,0.29061,1.74304,1.34733,1.47507,0.009505,0.009505,0.009505
17,194.805,1.49135,1.19446,1.30869,0.63793,0.58613,0.60553,0.30293,1.72931,1.26961,1.43822,0.009472,0.009472,0.009472
18,206.235,1.47221,1.18256,1.308,0.54308,0.54677,0.53072,0.2546,1.76934,1.42116,1.49467,0.009439,0.009439,0.009439
19,217.147,1.45474,1.14192,1.28902,0.6522,0.58332,0.60637,0.2966,1.74092,1.27513,1.47438,0.009406,0.009406,0.009406
20,227.69,1.45549,1.13488,1.28868,0.61405,0.57267,0.57155,0.28664,1.77663,1.32274,1.50313,0.009373,0.009373,0.009373
21,238.298,1.45972,1.12789,1.2903,0.66738,0.56115,0.60111,0.30201,1.73713,1.29435,1.45459,0.00934,0.00934,0.00934
22,249.024,1.4325,1.10089,1.26934,0.65543,0.57664,0.60041,0.30594,1.75478,1.34012,1.47603,0.009307,0.009307,0.009307
23,259.947,1.42676,1.0763,1.26411,0.66742,0.60224,0.63478,0.31411,1.75584,1.19402,1.45514,0.009274,0.009274,0.009274
24,270.769,1.42163,1.05979,1.26043,0.67191,0.5853,0.61711,0.30835,1.72578,1.30272,1.47358,0.009241,0.009241,0.009241
25,281.406,1.42079,1.07132,1.25665,0.60902,0.60108,0.58643,0.28921,1.76364,1.33674,1.51023,0.009208,0.009208,0.009208
26,293.453,1.40184,1.04218,1.24807,0.60409,0.52672,0.55417,0.2848,1.75685,1.43626,1.44644,0.009175,0.009175,0.009175
27,304.957,1.4048,1.03288,1.24744,0.67325,0.59937,0.63151,0.31435,1.73272,1.21539,1.45656,0.009142,0.009142,0.009142
28,317.342,1.39384,1.01077,1.24599,0.63095,0.59863,0.60662,0.31124,1.76478,1.29182,1.47374,0.009109,0.009109,0.009109
29,329.671,1.37291,0.99478,1.23369,0.64328,0.56324,0.58713,0.28466,1.7445,1.31601,1.45062,0.009076,0.009076,0.009076
30,341.788,1.38487,1.00567,1.24501,0.6744,0.61508,0.62547,0.30879,1.70266,1.2264,1.42122,0.009043,0.009043,0.009043
31,354.519,1.37337,0.99344,1.24009,0.62845,0.58869,0.5986,0.29391,1.75166,1.23081,1.46969,0.00901,0.00901,0.00901
32,365.316,1.36789,0.9864,1.2349,0.59575,0.58788,0.58885,0.29382,1.75586,1.29185,1.46532,0.008977,0.008977,0.008977
33,376.004,1.36554,0.9786,1.22811,0.64571,0.62902,0.62977,0.31427,1.7163,1.17643,1.4419,0.008944,0.008944,0.008944
34,386.666,1.35829,0.96801,1.21805,0.64685,0.56991,0.58022,0.28635,1.75055,1.30729,1.46144,0.008911,0.008911,0.008911
35,397.382,1.35002,0.96155,1.22821,0.63201,0.59605,0.58932,0.29804,1.70928,1.29674,1.47654,0.008878,0.008878,0.008878
36,408.168,1.34567,0.95033,1.21303,0.68914,0.55098,0.61799,0.30549,1.71416,1.27435,1.42839,0.008845,0.008845,0.008845
37,418.964,1.33543,0.95291,1.21269,0.63949,0.56876,0.59345,0.31028,1.71741,1.27254,1.44396,0.008812,0.008812,0.008812
38,429.64,1.34251,0.96003,1.21801,0.66955,0.59166,0.6134,0.31109,1.69858,1.23118,1.44248,0.008779,0.008779,0.008779
39,440.41,1.3345,0.9324,1.207,0.68972,0.55634,0.61558,0.31685,1.69292,1.24323,1.45224,0.008746,0.008746,0.008746
40,451.103,1.32302,0.91683,1.19943,0.65666,0.5671,0.60937,0.30823,1.68939,1.25039,1.41576,0.008713,0.008713,0.008713
41,461.927,1.32039,0.91388,1.20159,0.5848,0.57546,0.55913,0.28054,1.765,1.36119,1.46962,0.00868,0.00868,0.00868
42,472.583,1.33176,0.92134,1.20258,0.6571,0.59918,0.63573,0.31268,1.76302,1.20458,1.47441,0.008647,0.008647,0.008647
43,483.848,1.31794,0.92024,1.20732,0.65011,0.61937,0.61933,0.31299,1.75304,1.23315,1.48786,0.008614,0.008614,0.008614
44,495.231,1.31045,0.89843,1.19218,0.68254,0.62262,0.64615,0.32248,1.68854,1.15154,1.44777,0.008581,0.008581,0.008581
45,506.522,1.2972,0.87745,1.18804,0.65775,0.57855,0.5949,0.30131,1.69831,1.25172,1.44123,0.008548,0.008548,0.008548
46,517.318,1.29688,0.88195,1.18773,0.67078,0.59598,0.60569,0.30892,1.69533,1.24528,1.43523,0.008515,0.008515,0.008515
47,528.242,1.27392,0.87174,1.18012,0.63006,0.59961,0.59586,0.30889,1.68294,1.27768,1.43567,0.008482,0.008482,0.008482
48,538.962,1.28237,0.87911,1.18339,0.63323,0.5735,0.59428,0.29353,1.71679,1.33073,1.44596,0.008449,0.008449,0.008449
49,551.095,1.28975,0.88232,1.18496,0.64271,0.58972,0.61357,0.31729,1.65774,1.24596,1.42607,0.008416,0.008416,0.008416
50,562.558,1.27904,0.86239,1.17585,0.67505,0.62368,0.65535,0.3365,1.69384,1.18502,1.46629,0.008383,0.008383,0.008383
