epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.476,1.57127,1.93806,1.47296,0.66004,0.6651,0.69889,0.38192,1.657,1.41823,1.73366,0.000255713,0.000255713,0.000255713
2,59.487,1.55662,1.43586,1.44485,0.66958,0.62866,0.66614,0.3797,1.67489,1.72207,1.68315,0.000501907,0.000501907,0.000501907
3,86.3324,1.55613,1.44769,1.45241,0.71149,0.67188,0.70571,0.41005,1.62766,1.41096,1.65405,0.000737952,0.000737952,0.000737952
4,115.265,1.52985,1.36414,1.4333,0.72522,0.71516,0.73581,0.39105,1.71327,1.25687,1.79588,0.000723321,0.000723321,0.000723321
5,142.574,1.48835,1.27106,1.40979,0.79146,0.73595,0.79131,0.47425,1.54903,1.10328,1.56278,0.000708095,0.000708095,0.000708095
6,169.071,1.4463,1.19554,1.37756,0.81644,0.76708,0.81256,0.49893,1.50771,0.99365,1.55025,0.000692869,0.000692869,0.000692869
7,195.717,1.40921,1.13653,1.35139,0.8346,0.75691,0.81784,0.49223,1.54399,0.98736,1.55942,0.000677643,0.000677643,0.000677643
8,222.061,1.37703,1.06907,1.32759,0.8144,0.79164,0.83099,0.51083,1.48957,0.95857,1.5406,0.000662417,0.000662417,0.000662417
9,250.688,1.36496,1.03225,1.31086,0.85448,0.79736,0.83706,0.52663,1.45922,0.90812,1.50663,0.00064719,0.00064719,0.00064719
10,279.552,1.32995,0.9856,1.29724,0.84631,0.8127,0.85577,0.53632,1.46678,0.84981,1.54026,0.000631964,0.000631964,0.000631964
11,308.135,1.30919,0.9517,1.27856,0.84637,0.8094,0.85401,0.53534,1.4499,0.89788,1.47845,0.000616738,0.000616738,0.000616738
12,334.525,1.29325,0.91763,1.26356,0.87484,0.82647,0.87575,0.56216,1.42449,0.81793,1.44601,0.000601512,0.000601512,0.000601512
13,361.116,1.26903,0.90771,1.25754,0.88459,0.82301,0.87402,0.57157,1.38734,0.79356,1.42766,0.000586286,0.000586286,0.000586286
14,387.547,1.26511,0.87654,1.24301,0.87317,0.84033,0.8803,0.57479,1.37565,0.80393,1.41049,0.000571059,0.000571059,0.000571059
15,414.388,1.2449,0.8482,1.23815,0.86843,0.82956,0.86683,0.56662,1.38597,0.80217,1.4238,0.000555833,0.000555833,0.000555833
16,440.683,1.23153,0.83365,1.23102,0.88675,0.82291,0.88385,0.58003,1.3674,0.75529,1.40201,0.000540607,0.000540607,0.000540607
17,470.05,1.2137,0.81362,1.2136,0.90093,0.83236,0.8873,0.58463,1.3323,0.75307,1.37082,0.000525381,0.000525381,0.000525381
18,496.103,1.20332,0.78523,1.2069,0.88559,0.8334,0.87588,0.57342,1.40951,0.7482,1.43888,0.000510155,0.000510155,0.000510155
19,521.843,1.19522,0.77268,1.19787,0.88169,0.84001,0.89088,0.59554,1.34649,0.73847,1.37104,0.000494928,0.000494928,0.000494928
20,549.776,1.17881,0.77088,1.19941,0.8838,0.84055,0.89041,0.59251,1.35069,0.72847,1.39233,0.000479702,0.000479702,0.000479702
21,575.161,1.15623,0.74651,1.18316,0.9058,0.84488,0.8968,0.59562,1.34216,0.70396,1.38313,0.000464476,0.000464476,0.000464476
22,601.93,1.15167,0.73486,1.18554,0.8985,0.86137,0.9005,0.60428,1.32771,0.68979,1.36467,0.00044925,0.00044925,0.00044925
23,628.311,1.14576,0.71513,1.17274,0.90691,0.85175,0.90304,0.60817,1.35258,0.69415,1.39719,0.000434024,0.000434024,0.000434024
24,655.018,1.13297,0.70463,1.16697,0.89575,0.86847,0.90651,0.60735,1.31955,0.66619,1.33399,0.000418797,0.000418797,0.000418797
25,681.363,1.11943,0.69557,1.15795,0.89371,0.86838,0.89884,0.60563,1.33147,0.67642,1.3624,0.000403571,0.000403571,0.000403571
26,708.969,1.10285,0.68066,1.14759,0.91597,0.86342,0.90587,0.6127,1.32233,0.65859,1.35028,0.000388345,0.000388345,0.000388345
27,735.463,1.08948,0.66938,1.14466,0.88283,0.88285,0.90949,0.61352,1.31324,0.66377,1.34588,0.000373119,0.000373119,0.000373119
28,762.09,1.08272,0.65696,1.13885,0.90712,0.87731,0.91013,0.61468,1.32324,0.66951,1.35991,0.000357893,0.000357893,0.000357893
29,788.042,1.0832,0.64929,1.13912,0.90625,0.87878,0.911,0.61309,1.31187,0.6718,1.33062,0.000342666,0.000342666,0.000342666
30,813.845,1.07764,0.64573,1.1299,0.91828,0.88004,0.91739,0.61283,1.31839,0.66672,1.36716,0.00032744,0.00032744,0.00032744
31,839.203,1.06462,0.6374,1.12063,0.92188,0.86297,0.91226,0.61804,1.30877,0.6531,1.35989,0.000312214,0.000312214,0.000312214
32,864.564,1.04579,0.6154,1.11246,0.92342,0.86661,0.9107,0.61767,1.3158,0.65373,1.35964,0.000296988,0.000296988,0.000296988
33,892.17,1.04131,0.61406,1.10647,0.91571,0.88314,0.91094,0.63099,1.29199,0.64605,1.32525,0.000281762,0.000281762,0.000281762
34,917.648,1.02236,0.59557,1.10251,0.91291,0.86147,0.9076,0.62131,1.32836,0.64996,1.3639,0.000266535,0.000266535,0.000266535
35,942.812,1.01265,0.58991,1.09938,0.89534,0.87383,0.90787,0.62486,1.30944,0.64929,1.342,0.000251309,0.000251309,0.000251309
36,968.082,1.00507,0.58264,1.09658,0.92379,0.86971,0.91384,0.63079,1.28431,0.63911,1.31562,0.000236083,0.000236083,0.000236083
37,993.566,0.98879,0.56894,1.08329,0.91738,0.87515,0.91332,0.62844,1.29522,0.6355,1.34418,0.000220857,0.000220857,0.000220857
38,1019.04,0.98971,0.56677,1.08248,0.90229,0.88682,0.91303,0.62791,1.31219,0.62642,1.35993,0.000205631,0.000205631,0.000205631
39,1045.62,0.97523,0.5639,1.08324,0.90996,0.88757,0.91726,0.62983,1.29995,0.61727,1.33543,0.000190404,0.000190404,0.000190404
40,1070.62,0.96352,0.55548,1.07273,0.90853,0.87676,0.91065,0.62648,1.29608,0.62023,1.32819,0.000175178,0.000175178,0.000175178
41,1112.13,0.93245,0.45797,1.04168,0.90593,0.8841,0.91623,0.62773,1.30924,0.62833,1.32248,0.000159952,0.000159952,0.000159952
42,1137.26,0.91104,0.44387,1.03227,0.90439,0.87608,0.90781,0.62571,1.30524,0.64987,1.32418,0.000144726,0.000144726,0.000144726
43,1162.14,0.89168,0.4301,1.01762,0.91004,0.88008,0.91398,0.62776,1.31537,0.62621,1.33452,0.0001295,0.0001295,0.0001295
44,1187.07,0.87858,0.42468,1.01124,0.89351,0.89728,0.91265,0.62499,1.30926,0.63422,1.34978,0.000114273,0.000114273,0.000114273
45,1211.85,0.86841,0.41649,1.00906,0.9031,0.88744,0.9128,0.62607,1.30834,0.63267,1.35097,9.90472e-05,9.90472e-05,9.90472e-05
46,1237.21,0.85468,0.40924,1.00204,0.9049,0.88983,0.91694,0.63177,1.29523,0.62808,1.3435,8.3821e-05,8.3821e-05,8.3821e-05
47,1263.51,0.84529,0.40662,0.99825,0.90625,0.88027,0.9118,0.63213,1.30254,0.6271,1.35075,6.85948e-05,6.85948e-05,6.85948e-05
48,1290.61,0.82826,0.39526,0.99171,0.9187,0.87687,0.91401,0.63226,1.3037,0.61856,1.36914,5.33686e-05,5.33686e-05,5.33686e-05
49,1316.8,0.82002,0.39275,0.98532,0.91308,0.87784,0.91503,0.63204,1.31488,0.61977,1.37457,3.81424e-05,3.81424e-05,3.81424e-05
50,1342.78,0.80767,0.38771,0.98305,0.91857,0.87922,0.91353,0.63479,1.30957,0.61344,1.36708,2.29162e-05,2.29162e-05,2.29162e-05
