epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2018,1.49592,2.17057,1.48186,0.48632,0.43616,0.43266,0.2006,1.77279,1.76781,1.56271,0.000275765,0.000275765,0.000275765
2,21.7862,1.44414,1.47397,1.40765,0.60603,0.43437,0.48041,0.24645,1.75299,1.66263,1.56346,0.000542474,0.000542474,0.000542474
3,32.1244,1.44226,1.42212,1.39662,0.60295,0.37484,0.39702,0.19313,1.79965,1.92759,1.64148,0.000798187,0.000798187,0.000798187
4,42.1059,1.4167,1.36699,1.39196,0.50172,0.43945,0.4255,0.22231,1.75957,1.7151,1.54299,0.00078352,0.00078352,0.00078352
5,52.1238,1.3926,1.28636,1.36419,0.60412,0.46958,0.49627,0.25429,1.79823,1.60699,1.59823,0.000767026,0.000767026,0.000767026
6,62.1911,1.36292,1.20449,1.34001,0.62239,0.48348,0.50305,0.2582,1.72382,1.45928,1.53268,0.000750533,0.000750533,0.000750533
7,72.3177,1.33945,1.15654,1.32414,0.62562,0.48598,0.49629,0.25608,1.79872,1.4714,1.58231,0.00073404,0.00073404,0.00073404
8,85.7568,1.30284,1.10896,1.29548,0.63363,0.5075,0.53862,0.29505,1.67874,1.45337,1.5229,0.000717546,0.000717546,0.000717546
9,99.105,1.25597,1.05506,1.27994,0.6526,0.5073,0.54585,0.27994,1.68975,1.39512,1.49392,0.000701053,0.000701053,0.000701053
10,110.148,1.2632,1.00981,1.2693,0.69779,0.54093,0.58459,0.29633,1.68375,1.2931,1.49008,0.000684559,0.000684559,0.000684559
11,120.248,1.24729,0.98812,1.25508,0.65498,0.53887,0.5781,0.30575,1.66615,1.2916,1.49267,0.000668066,0.000668066,0.000668066
12,130.3,1.20258,0.92607,1.23068,0.6883,0.52697,0.57839,0.31217,1.64757,1.25711,1.47033,0.000651573,0.000651573,0.000651573
13,140.473,1.17893,0.90141,1.21327,0.71629,0.52063,0.57783,0.30031,1.70271,1.32938,1.52247,0.000635079,0.000635079,0.000635079
14,150.524,1.15701,0.86617,1.20039,0.67913,0.5547,0.5941,0.32749,1.60123,1.22942,1.43525,0.000618586,0.000618586,0.000618586
15,160.698,1.14973,0.83988,1.19553,0.72059,0.54109,0.61006,0.31817,1.6531,1.22758,1.46749,0.000602092,0.000602092,0.000602092
16,174.706,1.14115,0.83621,1.18497,0.69745,0.56731,0.60887,0.32342,1.62972,1.2539,1.44235,0.000585599,0.000585599,0.000585599
17,187.139,1.10942,0.80302,1.17249,0.69548,0.54135,0.58703,0.3166,1.66403,1.26119,1.45305,0.000569106,0.000569106,0.000569106
18,198.764,1.10225,0.79281,1.16333,0.69569,0.55508,0.60092,0.31545,1.63849,1.27021,1.45426,0.000552612,0.000552612,0.000552612
19,209.133,1.08117,0.76324,1.16063,0.69439,0.54584,0.59059,0.31575,1.6927,1.33156,1.49107,0.000536119,0.000536119,0.000536119
20,219.407,1.06875,0.75302,1.15094,0.74325,0.53463,0.60161,0.32973,1.6123,1.23065,1.4571,0.000519625,0.000519625,0.000519625
21,229.93,1.05463,0.73803,1.14008,0.70555,0.55081,0.5974,0.32628,1.65052,1.23648,1.45244,0.000503132,0.000503132,0.000503132
22,243.756,1.05047,0.72172,1.13882,0.73644,0.5533,0.61167,0.32814,1.62725,1.2289,1.4349,0.000486639,0.000486639,0.000486639
23,255.55,1.03938,0.69648,1.12847,0.77242,0.53524,0.61609,0.33488,1.63488,1.18756,1.46993,0.000470145,0.000470145,0.000470145
24,266.017,1.02638,0.70123,1.11939,0.74331,0.55597,0.60459,0.32997,1.63315,1.23131,1.45465,0.000453652,0.000453652,0.000453652
25,276.165,0.98883,0.66575,1.11178,0.72762,0.55542,0.61585,0.33566,1.62824,1.22471,1.45752,0.000437158,0.000437158,0.000437158
26,286.676,1.00216,0.66839,1.10201,0.7481,0.54132,0.61699,0.3355,1.63289,1.25543,1.46961,0.000420665,0.000420665,0.000420665
27,296.969,0.97872,0.64961,1.09475,0.7314,0.55428,0.61639,0.34035,1.62906,1.22241,1.46133,0.000404172,0.000404172,0.000404172
28,307.642,0.98367,0.63499,1.09694,0.74597,0.57849,0.62789,0.33938,1.63747,1.18588,1.46501,0.000387678,0.000387678,0.000387678
29,318.169,0.96451,0.63903,1.09037,0.76678,0.55493,0.62681,0.34712,1.59741,1.20224,1.4442,0.000371185,0.000371185,0.000371185
30,328.429,0.93631,0.60521,1.07513,0.75446,0.5747,0.62339,0.34316,1.59873,1.20845,1.44377,0.000354691,0.000354691,0.000354691
31,338.557,0.92142,0.59647,1.06741,0.72189,0.58377,0.63486,0.34231,1.61114,1.2045,1.42858,0.000338198,0.000338198,0.000338198
32,348.483,0.9239,0.59547,1.0663,0.72096,0.58241,0.6296,0.34273,1.61372,1.18393,1.46363,0.000321705,0.000321705,0.000321705
33,360.136,0.92028,0.58892,1.0631,0.72508,0.57695,0.6191,0.34118,1.64909,1.20126,1.48894,0.000305211,0.000305211,0.000305211
34,371.7,0.91221,0.56857,1.06024,0.77157,0.55021,0.62049,0.34407,1.60022,1.16066,1.46046,0.000288718,0.000288718,0.000288718
35,382.6,0.89053,0.56668,1.05163,0.76796,0.56644,0.62033,0.34249,1.60498,1.20942,1.43621,0.000272224,0.000272224,0.000272224
