epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.607,1.63212,2.23924,1.7237,0.53569,0.46124,0.47114,0.20731,1.84684,1.8896,2.0944,0.00333097,0.00333097,0.00333097
2,568.571,1.59087,1.71034,1.63446,0.56145,0.39629,0.42745,0.18854,1.91461,1.98804,2.0991,0.0066533,0.0066533,0.0066533
3,839.562,1.6933,1.98456,1.73104,0.43604,0.3707,0.36462,0.15929,1.98738,2.31081,2.22442,0.00996464,0.00996464,0.00996464
4,1109.51,1.68749,2.0046,1.74179,0.48467,0.41276,0.41612,0.17769,1.98736,2.03814,2.21678,0.0099505,0.0099505,0.0099505
5,1380.03,1.60229,1.79878,1.67907,0.52765,0.39499,0.43153,0.17721,2.05897,2.07751,2.32974,0.009934,0.009934,0.009934
6,1649.46,1.55845,1.66319,1.6324,0.51889,0.45597,0.46448,0.20543,1.9221,1.92562,2.1431,0.0099175,0.0099175,0.0099175
7,1918.89,1.52057,1.56242,1.59746,0.52806,0.47025,0.48593,0.22347,1.88486,1.92766,2.14892,0.009901,0.009901,0.009901
8,2188.81,1.48085,1.49867,1.57388,0.54113,0.48961,0.50714,0.22623,1.8425,1.81088,2.07506,0.0098845,0.0098845,0.0098845
9,2457.84,1.46009,1.43954,1.55754,0.56768,0.50403,0.53283,0.2411,1.88969,1.70609,2.14021,0.009868,0.009868,0.009868
10,2726.68,1.44153,1.38747,1.53276,0.54966,0.50015,0.5176,0.23182,1.91921,1.71497,2.13733,0.0098515,0.0098515,0.0098515
11,3013.85,1.4254,1.34818,1.52083,0.57941,0.54597,0.5469,0.24484,1.88135,1.68391,2.10469,0.009835,0.009835,0.009835
12,3325.68,1.41119,1.3198,1.51085,0.60234,0.51592,0.5618,0.25634,1.88909,1.67838,2.13483,0.0098185,0.0098185,0.0098185
13,3638.15,1.39799,1.28794,1.49226,0.6272,0.55493,0.59508,0.2713,1.81464,1.55662,2.04782,0.009802,0.009802,0.009802
14,3950.56,1.38806,1.26412,1.48672,0.63163,0.5178,0.57106,0.26502,1.79663,1.55224,2.03763,0.0097855,0.0097855,0.0097855
15,4262.43,1.37862,1.24038,1.48116,0.60399,0.5814,0.58626,0.27033,1.84203,1.49781,2.07135,0.009769,0.009769,0.009769
16,4551.05,1.37587,1.22783,1.47926,0.62729,0.58098,0.59812,0.27515,1.83679,1.51567,2.05456,0.0097525,0.0097525,0.0097525
17,4819.82,1.35687,1.20259,1.45755,0.61205,0.58403,0.60022,0.27727,1.83562,1.49279,2.0852,0.009736,0.009736,0.009736
18,5088.83,1.35085,1.18175,1.45789,0.61086,0.59056,0.60439,0.28027,1.8302,1.49769,2.06545,0.0097195,0.0097195,0.0097195
19,5358.55,1.35017,1.17321,1.44662,0.62779,0.56206,0.59485,0.27339,1.84192,1.51368,2.05198,0.009703,0.009703,0.009703
20,5627.66,1.33806,1.15529,1.43907,0.62684,0.58228,0.61339,0.28346,1.83549,1.46755,2.06946,0.0096865,0.0096865,0.0096865
21,5896.69,1.33821,1.14059,1.43636,0.67942,0.53719,0.60919,0.28016,1.83211,1.4662,2.0453,0.00967,0.00967,0.00967
22,6165.94,1.32461,1.12689,1.42933,0.62705,0.58344,0.61107,0.28225,1.82731,1.50554,2.08109,0.0096535,0.0096535,0.0096535
23,6434.93,1.32558,1.12132,1.43078,0.62751,0.60323,0.61467,0.28565,1.85089,1.50566,2.08872,0.009637,0.009637,0.009637
24,6704.44,1.31894,1.10461,1.42638,0.61989,0.60517,0.6111,0.28063,1.84356,1.44535,2.09001,0.0096205,0.0096205,0.0096205
25,6973.38,1.32047,1.09943,1.42209,0.63391,0.5927,0.62412,0.28972,1.85305,1.44976,2.1153,0.009604,0.009604,0.009604
26,7241.69,1.30277,1.08691,1.41749,0.62805,0.60412,0.62384,0.28926,1.83539,1.44488,2.0922,0.0095875,0.0095875,0.0095875
