epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9719,1.61147,2.29427,1.63827,0.31015,0.44197,0.36503,0.16368,1.95769,2.23153,2.01301,0.000254711,0.000254711,0.000254711
2,53.682,1.61818,1.78633,1.61791,0.4694,0.3926,0.39204,0.17807,2.03389,2.29598,2.21686,0.000509358,0.000509358,0.000509358
3,79.993,1.65746,1.75064,1.63477,0.47984,0.38777,0.36915,0.17407,2.0159,2.4056,2.13328,0.000762313,0.000762313,0.000762313
4,105.833,1.62455,1.70639,1.60487,0.57211,0.39992,0.41859,0.20037,1.91386,2.02734,1.98757,0.000761387,0.000761387,0.000761387
5,131.975,1.5793,1.57132,1.56937,0.48004,0.37567,0.40567,0.18803,1.99395,2.20589,1.98098,0.000758849,0.000758849,0.000758849
6,157.634,1.55975,1.53753,1.58864,0.6882,0.42015,0.48876,0.247,1.92234,2.30842,1.98618,0.000756312,0.000756312,0.000756312
7,183.809,1.51652,1.40768,1.525,0.57106,0.42713,0.4684,0.23332,1.91811,2.11797,1.90081,0.000753774,0.000753774,0.000753774
8,209.599,1.48086,1.36997,1.49985,0.62365,0.52604,0.55707,0.2863,1.87275,1.84491,1.92568,0.000751236,0.000751236,0.000751236
9,235.747,1.43924,1.28384,1.49337,0.62284,0.53319,0.52497,0.25895,1.88211,2.02665,1.91646,0.000748698,0.000748698,0.000748698
10,261.624,1.42362,1.24835,1.46576,0.6669,0.49172,0.53515,0.27409,1.82462,2.04398,1.89711,0.000746161,0.000746161,0.000746161
11,287.429,1.42402,1.21926,1.46052,0.66158,0.5045,0.55358,0.28992,1.86145,2.02043,1.87967,0.000743623,0.000743623,0.000743623
12,313.623,1.38399,1.15516,1.44288,0.67912,0.54383,0.5757,0.29745,1.84805,1.88029,1.91632,0.000741085,0.000741085,0.000741085
13,339.487,1.33891,1.10651,1.4088,0.67771,0.55855,0.56628,0.29938,1.83881,1.94005,1.85515,0.000738548,0.000738548,0.000738548
14,365.32,1.32264,1.05783,1.40007,0.69213,0.5302,0.55602,0.28095,1.86045,2.05025,1.90436,0.00073601,0.00073601,0.00073601
15,390.831,1.30716,1.02751,1.37162,0.71071,0.51947,0.56308,0.2894,1.83881,1.93188,1.90046,0.000733472,0.000733472,0.000733472
16,416.234,1.29674,1.01012,1.37579,0.71764,0.51833,0.54817,0.27374,1.88508,1.78995,1.94192,0.000730935,0.000730935,0.000730935
17,441.615,1.27818,0.97088,1.36122,0.69931,0.55666,0.58581,0.30776,1.84405,1.66776,1.94788,0.000728397,0.000728397,0.000728397
18,467.463,1.25049,0.94599,1.34296,0.70904,0.54817,0.58742,0.31146,1.84346,1.94449,1.90152,0.000725859,0.000725859,0.000725859
19,493.286,1.24204,0.91094,1.3202,0.72167,0.53143,0.60078,0.30889,1.82865,1.81474,1.92124,0.000723321,0.000723321,0.000723321
20,518.607,1.22946,0.89793,1.32448,0.63071,0.56072,0.5869,0.30549,1.86102,1.82645,1.94845,0.000720784,0.000720784,0.000720784
21,544.089,1.22313,0.87436,1.31257,0.69886,0.54741,0.5812,0.2941,1.79769,1.78319,1.86537,0.000718246,0.000718246,0.000718246
22,569.483,1.18726,0.84882,1.30053,0.71374,0.55522,0.60981,0.32298,1.81073,1.87889,1.91125,0.000715708,0.000715708,0.000715708
23,595.451,1.19053,0.84167,1.29535,0.67288,0.57864,0.625,0.32392,1.84188,1.79944,1.93364,0.000713171,0.000713171,0.000713171
