epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6667,1.13764,0.81685,1.20894,0.85277,0.72403,0.79135,0.50838,1.40998,0.94698,1.39029,0.000251673,0.000251673,0.000251673
2,25.6635,1.10512,0.75649,1.18787,0.85742,0.69787,0.769,0.48164,1.49349,1.04856,1.44424,0.00050633,0.00050633,0.00050633
3,38.3303,1.10054,0.74708,1.17074,0.83587,0.67219,0.75474,0.45537,1.55995,1.13379,1.47013,0.000759295,0.000759295,0.000759295
4,50.8575,1.10833,0.74724,1.18293,0.78845,0.68616,0.74388,0.43931,1.56609,1.07124,1.46719,0.000761387,0.000761387,0.000761387
5,63.3126,1.10455,0.73712,1.17179,0.7686,0.64884,0.70368,0.42942,1.56071,1.38154,1.49958,0.000758849,0.000758849,0.000758849
6,78.6073,1.07656,0.72202,1.15829,0.73589,0.68133,0.70362,0.39934,1.6131,1.17072,1.50597,0.000756312,0.000756312,0.000756312
7,93.4343,1.05609,0.69974,1.14383,0.70068,0.64056,0.6701,0.39751,1.60906,1.2551,1.51095,0.000753774,0.000753774,0.000753774
8,108.5,1.05324,0.69056,1.13845,0.74811,0.59907,0.66249,0.37797,1.62616,1.29765,1.56184,0.000751236,0.000751236,0.000751236
9,122.446,1.03123,0.67303,1.13494,0.75538,0.64668,0.7037,0.42086,1.55057,1.31823,1.51698,0.000748698,0.000748698,0.000748698
10,135.629,1.03193,0.66818,1.13227,0.74858,0.63092,0.68676,0.40738,1.61501,1.21667,1.55614,0.000746161,0.000746161,0.000746161
11,147.714,1.02405,0.64301,1.12266,0.76689,0.64138,0.70267,0.39872,1.62474,1.16707,1.56108,0.000743623,0.000743623,0.000743623
12,159.823,1.02891,0.63526,1.11723,0.73295,0.63246,0.69185,0.40481,1.58953,1.20417,1.50713,0.000741085,0.000741085,0.000741085
13,171.952,0.98922,0.6373,1.10767,0.749,0.64165,0.69531,0.40144,1.64919,1.15027,1.5764,0.000738548,0.000738548,0.000738548
14,184.02,0.98274,0.61512,1.10257,0.75027,0.66087,0.70361,0.41585,1.6103,1.28382,1.55106,0.00073601,0.00073601,0.00073601
15,196.121,0.97589,0.60667,1.10076,0.79156,0.62886,0.70272,0.40165,1.54477,1.2271,1.48729,0.000733472,0.000733472,0.000733472
16,208.206,0.96641,0.5969,1.08442,0.73005,0.67044,0.71412,0.39816,1.69386,1.15814,1.63907,0.000730935,0.000730935,0.000730935
17,220.361,0.97501,0.59703,1.09556,0.67436,0.64999,0.64953,0.36005,1.62747,1.20357,1.56411,0.000728397,0.000728397,0.000728397
18,234.697,0.94611,0.58616,1.08217,0.82213,0.58601,0.69233,0.39248,1.69146,1.36701,1.63906,0.000725859,0.000725859,0.000725859
19,249.079,0.97124,0.60459,1.08486,0.72059,0.6356,0.68633,0.36715,1.6964,1.38559,1.6035,0.000723321,0.000723321,0.000723321
20,263.525,0.92335,0.57716,1.06904,0.75772,0.63259,0.67716,0.38542,1.63461,1.21072,1.59633,0.000720784,0.000720784,0.000720784
21,278.07,0.93661,0.5708,1.07611,0.76315,0.6031,0.66906,0.38047,1.65719,1.25331,1.61062,0.000718246,0.000718246,0.000718246
22,292.786,0.91884,0.55805,1.06131,0.73516,0.64107,0.69352,0.40177,1.67312,1.35088,1.61965,0.000715708,0.000715708,0.000715708
23,306.097,0.91884,0.56203,1.06979,0.66882,0.61125,0.64514,0.37165,1.58738,1.53484,1.52673,0.000713171,0.000713171,0.000713171
24,318.413,0.9272,0.56456,1.06416,0.72427,0.60314,0.6691,0.36976,1.70397,1.28058,1.65431,0.000710633,0.000710633,0.000710633
25,330.897,0.91339,0.55932,1.05575,0.68531,0.62713,0.65748,0.35167,1.67408,1.27598,1.64059,0.000708095,0.000708095,0.000708095
26,342.918,0.89386,0.54584,1.05983,0.67751,0.5998,0.63293,0.35269,1.6598,1.31559,1.56437,0.000705558,0.000705558,0.000705558
27,354.996,0.8931,0.53853,1.04826,0.7367,0.66033,0.69679,0.38621,1.65606,1.2837,1.57857,0.00070302,0.00070302,0.00070302
28,367.077,0.91326,0.55318,1.06379,0.73058,0.5781,0.66079,0.36489,1.71017,1.40788,1.60716,0.000700482,0.000700482,0.000700482
29,379.149,0.88473,0.53822,1.05193,0.70279,0.61647,0.65475,0.34601,1.72534,1.30439,1.69107,0.000697944,0.000697944,0.000697944
30,391.229,0.86578,0.52714,1.04077,0.7406,0.61237,0.67605,0.38112,1.65387,1.32603,1.55227,0.000695407,0.000695407,0.000695407
31,403.34,0.87289,0.52352,1.04235,0.7322,0.56821,0.64564,0.34897,1.6742,1.39518,1.64784,0.000692869,0.000692869,0.000692869
32,418.449,0.86689,0.52454,1.04613,0.71975,0.63837,0.65524,0.36644,1.64905,1.27874,1.60884,0.000690331,0.000690331,0.000690331
33,433.002,0.86131,0.51629,1.0375,0.68762,0.60753,0.65328,0.36195,1.67109,1.35486,1.58435,0.000687794,0.000687794,0.000687794
34,446.237,0.86642,0.51527,1.0404,0.68775,0.58744,0.62358,0.34301,1.67619,1.31353,1.59668,0.000685256,0.000685256,0.000685256
35,458.35,0.84142,0.50824,1.03283,0.7104,0.62711,0.64873,0.34739,1.71025,1.32658,1.66023,0.000682718,0.000682718,0.000682718
36,470.505,0.85846,0.50727,1.03635,0.71449,0.57726,0.63007,0.34999,1.67784,1.4267,1.62001,0.000680181,0.000680181,0.000680181
37,482.613,0.83637,0.50394,1.02722,0.64448,0.58369,0.61551,0.33701,1.70107,1.45089,1.62326,0.000677643,0.000677643,0.000677643
38,494.722,0.84445,0.49993,1.03429,0.74164,0.62835,0.67091,0.3727,1.6859,1.37789,1.61412,0.000675105,0.000675105,0.000675105
39,506.898,0.83553,0.49968,1.02947,0.69573,0.59244,0.63914,0.3534,1.67374,1.40495,1.63226,0.000672567,0.000672567,0.000672567
40,519.018,0.83041,0.4956,1.02212,0.72629,0.55063,0.60015,0.32223,1.71438,1.49295,1.68917,0.00067003,0.00067003,0.00067003
41,531.148,0.82704,0.49415,1.02242,0.73686,0.57815,0.62047,0.34138,1.69479,1.40251,1.63743,0.000667492,0.000667492,0.000667492
42,543.266,0.8247,0.49252,1.02439,0.72225,0.63682,0.6719,0.37168,1.68509,1.28192,1.6438,0.000664954,0.000664954,0.000664954
43,555.396,0.82076,0.48869,1.0182,0.71868,0.6453,0.67012,0.36817,1.64483,1.348,1.57671,0.000662417,0.000662417,0.000662417
44,567.482,0.81056,0.48458,1.01101,0.72395,0.63251,0.69413,0.38827,1.63209,1.30149,1.56802,0.000659879,0.000659879,0.000659879
45,581.758,0.80596,0.47596,1.00887,0.68223,0.5271,0.59223,0.32121,1.67463,1.57155,1.61617,0.000657341,0.000657341,0.000657341
46,594.792,0.80631,0.48167,1.01824,0.63367,0.63355,0.636,0.34581,1.66432,1.38678,1.63721,0.000654804,0.000654804,0.000654804
47,606.924,0.8085,0.48392,1.01382,0.66973,0.60362,0.63749,0.34639,1.71665,1.3341,1.69226,0.000652266,0.000652266,0.000652266
48,618.977,0.79393,0.47378,1.01044,0.58691,0.59372,0.61063,0.33609,1.66699,1.49737,1.60526,0.000649728,0.000649728,0.000649728
49,631.083,0.80839,0.47865,1.02417,0.68406,0.60555,0.63174,0.3496,1.6619,1.35772,1.6006,0.00064719,0.00064719,0.00064719
50,643.18,0.799,0.47397,1.00261,0.70075,0.58235,0.6355,0.34427,1.66321,1.3512,1.62165,0.000644653,0.000644653,0.000644653
51,655.334,0.81395,0.48107,1.01127,0.67152,0.60594,0.63295,0.35144,1.65663,1.45945,1.6385,0.000642115,0.000642115,0.000642115
52,667.409,0.77873,0.46538,1.00508,0.69288,0.59128,0.63198,0.34345,1.70676,1.39811,1.66269,0.000639577,0.000639577,0.000639577
53,679.535,0.77553,0.46353,0.99534,0.64414,0.57246,0.5891,0.31469,1.7674,1.51789,1.71118,0.00063704,0.00063704,0.00063704
54,691.642,0.77106,0.45947,0.99944,0.66315,0.54444,0.58792,0.31094,1.77525,1.55054,1.74311,0.000634502,0.000634502,0.000634502
55,703.882,0.78181,0.46462,0.99825,0.66711,0.55052,0.61323,0.34212,1.67138,1.44674,1.63488,0.000631964,0.000631964,0.000631964
56,715.907,0.76327,0.4525,1.00153,0.70298,0.58771,0.64136,0.35932,1.65681,1.28421,1.63344,0.000629427,0.000629427,0.000629427
57,728.007,0.77194,0.46191,0.99708,0.71634,0.55797,0.61229,0.33172,1.72628,1.43442,1.6616,0.000626889,0.000626889,0.000626889
58,740.075,0.75286,0.44646,0.98833,0.73294,0.52708,0.61868,0.33806,1.6813,1.46187,1.62575,0.000624351,0.000624351,0.000624351
59,752.197,0.76507,0.44765,0.99631,0.67232,0.57265,0.60851,0.33635,1.66001,1.47284,1.58314,0.000621813,0.000621813,0.000621813
60,764.262,0.76926,0.44629,0.98922,0.59122,0.56476,0.5803,0.32315,1.66978,1.59897,1.60868,0.000619276,0.000619276,0.000619276
61,776.375,0.75462,0.44447,0.98727,0.59635,0.57875,0.58556,0.31555,1.72256,1.69474,1.64709,0.000616738,0.000616738,0.000616738
62,788.453,0.74444,0.44056,0.9903,0.65481,0.57515,0.605,0.33776,1.68297,1.51164,1.64272,0.0006142,0.0006142,0.0006142
63,800.588,0.73769,0.43555,0.98814,0.68342,0.59409,0.61974,0.33642,1.68205,1.47268,1.62409,0.000611663,0.000611663,0.000611663
