epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.469,1.36629,1.69376,1.59204,0.75988,0.71961,0.77592,0.46087,1.56029,1.18095,1.44217,0.00332954,0.00332954,0.00332954
2,415.953,1.30497,1.16613,1.48669,0.76388,0.65935,0.74063,0.40718,1.55171,1.25166,1.48137,0.00659691,0.00659691,0.00659691
3,615.522,1.42226,1.39514,1.58517,0.62717,0.54934,0.57619,0.27563,1.72739,1.66633,1.67664,0.00979828,0.00979828,0.00979828
4,815.031,1.48789,1.58045,1.65489,0.62478,0.61781,0.64984,0.36596,1.64145,1.55815,1.57153,0.009703,0.009703,0.009703
5,1014.11,1.4194,1.40148,1.60452,0.7361,0.63454,0.69842,0.39829,1.60048,1.30788,1.58307,0.009604,0.009604,0.009604
6,1211.43,1.37349,1.29774,1.55609,0.75168,0.68439,0.75166,0.45246,1.48649,1.20161,1.47589,0.009505,0.009505,0.009505
7,1408.76,1.31182,1.20242,1.51436,0.71866,0.68941,0.73745,0.4256,1.54298,1.25339,1.51248,0.009406,0.009406,0.009406
8,1608.05,1.28935,1.13365,1.481,0.756,0.71952,0.76628,0.46958,1.47801,1.141,1.44711,0.009307,0.009307,0.009307
9,1808.58,1.25776,1.08845,1.46867,0.82817,0.77168,0.80542,0.5142,1.4186,1.03346,1.42624,0.009208,0.009208,0.009208
10,2008.04,1.23412,1.03503,1.44822,0.77587,0.72484,0.76506,0.48188,1.44968,1.06504,1.46469,0.009109,0.009109,0.009109
11,2208.12,1.21376,0.99438,1.43085,0.82826,0.78187,0.83219,0.52954,1.40828,0.9637,1.43398,0.00901,0.00901,0.00901
12,2406.63,1.19844,0.96236,1.40929,0.80029,0.7522,0.80862,0.52081,1.39118,1.00542,1.41113,0.008911,0.008911,0.008911
13,2605.14,1.17966,0.93725,1.40182,0.80569,0.75837,0.81812,0.53704,1.38676,0.93357,1.37986,0.008812,0.008812,0.008812
14,2804.64,1.1586,0.90846,1.38209,0.83279,0.77428,0.83166,0.53997,1.38605,0.88612,1.38857,0.008713,0.008713,0.008713
15,3003.01,1.1386,0.87257,1.36312,0.83626,0.7873,0.84241,0.56099,1.33744,0.87518,1.35204,0.008614,0.008614,0.008614
16,3201.41,1.12897,0.86291,1.36059,0.79622,0.79266,0.83842,0.5556,1.36129,0.93396,1.36849,0.008515,0.008515,0.008515
17,3399.45,1.125,0.83762,1.34455,0.85441,0.79973,0.8536,0.5723,1.34661,0.86328,1.35291,0.008416,0.008416,0.008416
18,3598.6,1.10836,0.81222,1.34239,0.86323,0.79831,0.85557,0.57208,1.34078,0.85778,1.35234,0.008317,0.008317,0.008317
19,3798.73,1.08849,0.78919,1.32203,0.85827,0.79384,0.85361,0.58147,1.31824,0.83709,1.33113,0.008218,0.008218,0.008218
20,3999.5,1.07568,0.78556,1.31846,0.84407,0.79723,0.84894,0.57669,1.31778,0.83585,1.32886,0.008119,0.008119,0.008119
21,4197.3,1.07191,0.76019,1.30671,0.86162,0.82188,0.86204,0.58452,1.31773,0.82127,1.33185,0.00802,0.00802,0.00802
22,4398.29,1.06026,0.74498,1.30021,0.85172,0.82668,0.86311,0.57632,1.33832,0.80745,1.36434,0.007921,0.007921,0.007921
23,4597.33,1.04909,0.7406,1.29831,0.8675,0.82342,0.86928,0.58978,1.30628,0.79166,1.33563,0.007822,0.007822,0.007822
