epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0621,1.50985,2.22829,1.48775,0.4423,0.4018,0.3668,0.1761,1.7523,1.76698,1.56019,0.000254578,0.000254578,0.000254578
2,22.6747,1.42442,1.42781,1.39153,0.55211,0.41765,0.4054,0.20163,1.77506,1.8418,1.59764,0.000500795,0.000500795,0.000500795
3,32.9817,1.42475,1.39473,1.38881,0.59636,0.37294,0.40164,0.20618,1.76114,1.90399,1.52746,0.000736861,0.000736861,0.000736861
4,43.1053,1.40585,1.32911,1.37592,0.5264,0.45732,0.44552,0.22256,1.70599,1.80366,1.54824,0.000723321,0.000723321,0.000723321
5,56.7527,1.38391,1.25394,1.35233,0.60969,0.46003,0.48637,0.24339,1.76175,1.57569,1.57566,0.000708095,0.000708095,0.000708095
6,71.5426,1.35789,1.18966,1.33645,0.69935,0.48731,0.54982,0.27514,1.70253,1.41712,1.50918,0.000692869,0.000692869,0.000692869
7,83.7589,1.31624,1.1328,1.31862,0.59027,0.50552,0.52656,0.27232,1.69069,1.4723,1.48664,0.000677643,0.000677643,0.000677643
8,93.7137,1.2665,1.07226,1.28241,0.64816,0.46541,0.51814,0.27121,1.72695,1.50922,1.55605,0.000662417,0.000662417,0.000662417
9,103.602,1.24762,1.03443,1.27616,0.6324,0.5458,0.5531,0.2877,1.7125,1.34343,1.53557,0.00064719,0.00064719,0.00064719
10,113.709,1.24945,0.9975,1.26388,0.66075,0.48132,0.5359,0.28665,1.69006,1.4289,1.48097,0.000631964,0.000631964,0.000631964
11,123.651,1.21484,0.94981,1.23774,0.65422,0.53842,0.55949,0.2883,1.70815,1.34404,1.52699,0.000616738,0.000616738,0.000616738
12,133.78,1.1946,0.90322,1.227,0.67716,0.53833,0.57258,0.3002,1.64213,1.2615,1.47494,0.000601512,0.000601512,0.000601512
13,143.859,1.17005,0.88707,1.20793,0.67343,0.54355,0.57867,0.30414,1.67445,1.28254,1.48552,0.000586286,0.000586286,0.000586286
14,154.029,1.1681,0.8677,1.20702,0.73406,0.5526,0.59764,0.31468,1.66233,1.28854,1.48575,0.000571059,0.000571059,0.000571059
15,164.15,1.14313,0.83316,1.19921,0.6472,0.5401,0.55997,0.30282,1.67446,1.32392,1.49053,0.000555833,0.000555833,0.000555833
16,174.099,1.11868,0.82307,1.18498,0.67109,0.57315,0.59297,0.3097,1.67315,1.22069,1.5076,0.000540607,0.000540607,0.000540607
17,184.21,1.09688,0.78786,1.17268,0.69974,0.52545,0.58232,0.31195,1.70731,1.28969,1.5157,0.000525381,0.000525381,0.000525381
18,196.635,1.09662,0.78757,1.16711,0.63527,0.57654,0.60401,0.31057,1.66909,1.21463,1.48286,0.000510155,0.000510155,0.000510155
19,208.791,1.0764,0.74502,1.15643,0.69393,0.55084,0.59447,0.31925,1.63975,1.2875,1.42469,0.000494928,0.000494928,0.000494928
20,218.955,1.06179,0.74462,1.14881,0.70329,0.53831,0.59544,0.32812,1.63837,1.22081,1.49195,0.000479702,0.000479702,0.000479702
21,229.09,1.03111,0.70872,1.12713,0.70606,0.55978,0.60224,0.32305,1.65504,1.25496,1.47631,0.000464476,0.000464476,0.000464476
22,239.068,1.03981,0.72,1.13157,0.67617,0.56365,0.60132,0.32684,1.65794,1.25965,1.49262,0.00044925,0.00044925,0.00044925
23,249.042,1.03671,0.693,1.12862,0.72041,0.57151,0.61399,0.3333,1.65589,1.23679,1.4619,0.000434024,0.000434024,0.000434024
24,259.182,1.00168,0.67915,1.10742,0.73499,0.54154,0.60862,0.32589,1.68029,1.28853,1.5011,0.000418797,0.000418797,0.000418797
25,269.188,0.98784,0.66238,1.10113,0.70003,0.58679,0.62145,0.33401,1.65402,1.18057,1.4902,0.000403571,0.000403571,0.000403571
26,279.315,0.99245,0.65574,1.10261,0.74053,0.55997,0.62369,0.33256,1.65828,1.23576,1.48306,0.000388345,0.000388345,0.000388345
27,289.337,0.98277,0.65982,1.09972,0.70517,0.57939,0.62238,0.33256,1.66351,1.25435,1.50416,0.000373119,0.000373119,0.000373119
28,299.353,0.96286,0.63257,1.08994,0.67994,0.58951,0.61897,0.33609,1.63716,1.21007,1.46859,0.000357893,0.000357893,0.000357893
29,309.487,0.96697,0.63632,1.08923,0.69587,0.5791,0.60961,0.33883,1.63662,1.23505,1.48405,0.000342666,0.000342666,0.000342666
30,319.567,0.93876,0.60157,1.07402,0.71484,0.56395,0.61357,0.33271,1.65914,1.17521,1.49119,0.00032744,0.00032744,0.00032744
31,332.483,0.91589,0.58845,1.06772,0.70431,0.56472,0.61586,0.33624,1.65285,1.21004,1.50783,0.000312214,0.000312214,0.000312214
32,344.56,0.91855,0.58337,1.06579,0.72662,0.57689,0.63546,0.34398,1.66034,1.17224,1.5223,0.000296988,0.000296988,0.000296988
33,356.562,0.90417,0.58182,1.05684,0.74383,0.58539,0.64511,0.34779,1.65871,1.21521,1.49612,0.000281762,0.000281762,0.000281762
34,366.67,0.90011,0.5651,1.05735,0.72798,0.60164,0.63984,0.35248,1.61659,1.11839,1.48286,0.000266535,0.000266535,0.000266535
35,376.654,0.87898,0.55615,1.04521,0.71349,0.61256,0.64832,0.34463,1.64872,1.10097,1.52412,0.000251309,0.000251309,0.000251309
36,386.531,0.85787,0.54216,1.03535,0.68233,0.60958,0.63397,0.3452,1.63908,1.14735,1.50874,0.000236083,0.000236083,0.000236083
37,396.387,0.85167,0.53252,1.03149,0.7295,0.57257,0.62807,0.33961,1.63871,1.24065,1.49293,0.000220857,0.000220857,0.000220857
38,406.286,0.8521,0.53105,1.03134,0.70682,0.58533,0.63709,0.34616,1.63521,1.2224,1.48869,0.000205631,0.000205631,0.000205631
39,416.1,0.83998,0.52214,1.02895,0.75297,0.57884,0.63923,0.34633,1.63074,1.15866,1.47963,0.000190404,0.000190404,0.000190404
40,425.935,0.82433,0.51672,1.02613,0.73292,0.57405,0.63198,0.34317,1.64065,1.17376,1.49427,0.000175178,0.000175178,0.000175178
41,449.439,0.79953,0.43945,0.98762,0.68119,0.59479,0.62542,0.34391,1.67268,1.19422,1.52595,0.000159952,0.000159952,0.000159952
42,459.233,0.77213,0.41382,0.97616,0.6987,0.59665,0.62317,0.33924,1.65731,1.17204,1.51341,0.000144726,0.000144726,0.000144726
43,469.009,0.75165,0.40291,0.9654,0.71277,0.56736,0.63147,0.34312,1.64694,1.19229,1.49409,0.0001295,0.0001295,0.0001295
44,478.763,0.74282,0.40171,0.96639,0.70196,0.60616,0.63917,0.34389,1.63268,1.17114,1.50252,0.000114273,0.000114273,0.000114273
45,488.543,0.72695,0.38927,0.9644,0.71491,0.60522,0.64392,0.35153,1.63174,1.17883,1.50592,9.90472e-05,9.90472e-05,9.90472e-05
46,498.316,0.70682,0.38202,0.95219,0.69657,0.57898,0.62494,0.34578,1.63345,1.20588,1.51365,8.3821e-05,8.3821e-05,8.3821e-05
